"","METHOD","TEST_RMSPE","Time"
"1","treebag",0.163560052266909,4.32243299484253
"2","rpart2",0.169804638855626,1.44314408302307
"3","evtree",0.171519164050263,314.206416845322
"4","blackboost",0.172912955136122,11.140114068985
"5","cubist",0.17624806532469,20.4250419139862
"6","qrf",0.168891420213619,13.2263219356537
"7","rpart",0.183422465748378,1.48914813995361
"8","partDSA",0.183422465748378,17.9937989711761
"9","svmPoly",0.183560984003277,31.2951288223267
"10","brnn",0.187096692669551,5.46554589271545
"11","gamboost",NA,3.29233002662659
"12","cforest",0.186802150948262,91.0231008529663
"13","relaxo",0.188184223953721,2.53325319290161
"14","bstTree",0.188262187457136,117.715770959854
"15","gbm",0.180559482821664,5.30353093147278
"16","xgbTree",0.189780831772294,19.6479651927948
"17","nnls",0.191403182949611,2.34623503684998
"18","bagEarth",0.190116229726513,297.646762132645
"19","svmLinear2",0.194115503987276,12.2042200565338
"20","svmLinear",0.194161683870146,7.14771509170532
"21","gaussprPoly",0.194509701562773,100.140400886536
"22","gcvEarth",0.198696181426166,4.30057001113892
"23","earth",0.198696181426166,5.86541295051575
"24","bagEarthGCV",0.195790759784446,62.4057579040527
"25","plsRglm",0.195761423589365,29.2670729160309
"26","ctree2",0.196117101454285,3.200679063797
"27","rqlasso",0.196359800146953,2.48775100708008
"28","leapSeq",0.19685348007961,2.08579111099243
"29","rqnc",0.196984457299835,4.71752786636353
"30","gamLoess",0.197875832762787,2.42075800895691
"31","ctree",0.199183153322547,3.76462411880493
"32","gamSpline",0.199511280126876,3.81761789321899
"33","gam",0.199546792424557,4.90451002120972
"34","M5",0.201940567841534,120.132740020752
"35","rlm",0.202658742392707,1.50499987602234
"36","BstLm",0.203810928282751,11.4140000343323
"37","rf",0.208427609532555,45.047000169754
"38","M5Rules",0.206114625381172,91.8740000724792
"39","ranger",0.20516367103303,31.5380001068115
"40","lars2",0.206840902867839,1.7979998588562
"41","RRF",0.205570168461468,145.56500005722
"42","RRFglobal",0.208939671063872,65.010999917984
"43","Boruta",0.206707421314311,421.156999826431
"44","lasso",0.212824980915494,1.97899985313416
"45","glmboost",0.213127581507826,2.80399990081787
"46","kknn",0.215860576730874,3.57399988174438
"47","spls",0.216875187803853,4.08000016212463
"48","enpls",0.21750766801144,229.123999834061
"49","enpls.fs",0.217646472672451,362.768688201904
"50","gaussprRadial",0.21484962945126,7.8817880153656
"51","glmnet",0.218556988718615,3.44934487342834
"52","bayesglm",0.219731550952686,2.23422408103943
"53","lars",0.219718174580375,1.76317596435547
"54","enet",0.219718174580375,2.60226011276245
"55","ridge",0.219718174580375,2.07820796966553
"56","lm",0.219718174580564,1.58615803718567
"57","glm",0.219718174580564,1.61616086959839
"58","lmStepAIC",0.219718174580564,2.34023404121399
"59","glmStepAIC",0.219718174580564,2.4812479019165
"60","foba",0.219718189517873,2.55625486373901
"61","gaussprLinear",0.219721655917576,5.78857803344727
"62","penalized",0.220219351942617,8.59085893630981
"63","svmRadial",0.223339766742284,6.31463098526001
"64","leapForward",0.226179011569076,1.63516306877136
"65","leapBackward",0.226179011569076,1.6381630897522
"66","krlsRadial",0.236357537441306,617.506368875504
"67","svmRadialCost",0.224382656163262,6.54630899429321
"68","knn",0.233468608172032,1.80135989189148
"69","elm",0.343598038606592,3.30866193771362
"70","ppr",0.237068849472749,2.513503074646
"71","xgbLinear",0.240585998832985,147.457484960556
"72","mlp",0.308443486591751,38.2116408348083
"73","krlsPoly",0.296350946593195,156.506025075912
"74","rvmRadial",0.291312506048724,138.639862060547
"75","icr",0.307205431254099,2.64026403427124
"76","mlpWeightDecay",0.290498415430572,107.275727033615
"77","pcr",0.33807143639473,1.80818104743958
"78","neuralnet",0.338275880309982,396.700666189194
"79","xyf",0.345065778787889,17.1837179660797
"80","pls",0.352369465641776,1.70517110824585
"81","kernelpls",0.352369465641776,1.71517205238342
"82","widekernelpls",0.352369465641778,49.335932970047
"83","simpls",0.35236946564178,1.70917105674744
"84","dnn",0.319676106754093,19.675968170166
"85","bdk",0.403127525275067,17.3497350215912
"86","superpc",0.996159880325776,3.35833597183228
"87","nnet",0.999784709128985,4.21842193603516
"88","pcaNNet",0.999784709128985,5.46554589271545
"89","avNNet",0.999784709128985,12.4212419986725
